term,definition
What is the term for taking action to lower or remove a hazard?,Risk mitigation.
Failing to address a known hazard can lead to legal __________.,liability
The OHS Act and Code of Ethics require you to __________ hazards.,address
What does Level A - Entry Level require?,Work under the direct supervision of a licensed engineer
Can you practice independently at Level D?,"Yes, but it's not the first level that allows independence."
The portion of a loss the insured pays is known as the ________.,deductible
A claim made by someone other than the insured or insurer is called a ________‐party claim.,third
Errors and omissions are covered by ________ insurance.,liability
________ insurance protects against claims by third parties for errors and omissions.,Liability
What professional duty is signified by the seal?,Accountability for the accuracy and integrity of the work.
What does sealing an engineering drawing communicate?,"That the engineer has checked, reviewed, and takes responsibility for the work."
"For drawings with three different disciplines, how many seals are required?",Four seals: one per discipline plus one approving professional.
The total number of seals equals the number of disciplines plus one ______ professional seal.,approving
"When the authoring engineer refuses responsibility, the __________ engineer must seal.",overruling
Who should seal a document when the original authoring engineer refuses to take responsibility for imposed changes?,The overruling engineer.
Which professional rule mandates disclosure of stock holdings in a vendor?,The conflict‐of‐interest clause in the Code of Ethics.
Does Kant's formalism consider how many people benefit?,No—only whether the action follows moral duty.
Mill's Utilitarianism focuses on outcomes or the greatest ______.,happiness
"In Kant's formalism, actions are judged by their underlying ______, not results or consequences.",motivation or principle
Is it legal for an employer to lower pay after a worker refuses unsafe work?,No. Reducing pay in that situation is discrimination under the OHS Act.
What must happen to a worker's benefits when they refuse unsafe work and are reassigned?,They must remain unchanged.
What is a Regulation and how does it relate to an Act?,"A detailed set of instructions made under an Act, explaining how the Act's broad rules should be applied in specific situations."
Persian translation of fraudulent,جعلی
Persian translation of privileged,"( در مورد اطلاعات ) محرمانه، سرّی
معنی دوم: نازپرورده - ژن خوب"
Persian translation of embezzlement,اختلاس
Persian translation of influence peddling,زدوبند
Persian translation of liable,"1 - مسئول. The law holds parents liable if a child does not attend schoolقانون والدین را در صورت عدم حضور کودک در مدرسه ""مسئول"" دانسته است.. If we lose the case we may be liable for the costs of the whole trialاگر ما پرونده را گم کنیم ، ممکن است در قبال هزینه های کل دادگاه ""مسئول"" باشیم.2 - احتمال داشتن ( برای اتفاقات معمولا منفی ). The areas of town near the river are liable to floodingمناطق شهر در نزدیکی رودخانه ""احتمال"" طغیان کردن دارد.. He's liable to make a fuss if you wake himاگر او را بیدار کنید احتمال دارد سر و صدا ایجاد کند."
