id,term,definition
card535,Commercial General Liability vs. Errors & Omissions insurance,"E&O (professional liability) covers design/consulting negligence; CGL covers third-party bodily injury/property damage.

E&O insurance protects you if you make a mistake in your professional work, like a design error.
CGL insurance protects you if someone is hurt or their property is damaged because of your work.
E&O covers intellectual or service-based risks, while CGL covers physical risks.
So, E&O is for wrong advice or design, and CGL is for accidents or injuries.
Most professionals need both types to stay fully protected.

3) Example

Imagine you're an engineer.
If your design has a flaw that causes a project delay, E&O covers that.
But if someone trips over your equipment at the site and breaks a leg, CGL handles that.
E&O is about what you think or draw, and CGL is about what physically happens.
They cover different kinds of risks, and one doesn’t replace the other.
That's why companies usually carry both.

"
card536,What does ISO 14001 certification signal about a company?,"A serious corporate commitment to an Environmental Management System (EMS)—with policies, audits, training, and legal compliance."
card537,How Canada keeps provincial building-code differences small,"Provinces/territories adopt & adapt national model codes, ensuring broad consistency."
card538,Quality-management method that strips out non-value activities to cut cost & waste,Lean (identify what customers truly value; eliminate the rest).
card539,Government level that controls building-construction codes in Canada,Provincial/territorial governments (they may adopt or modify national model codes).
card540,QMS most suited to cutting manufacturing defects without needing ISO prestige,Six Sigma - data-driven defect reduction in production processes.
card541,Lean vs Six Sigma - quick distinction,Lean = eliminate waste (speed/efficiency); Six Sigma = eliminate defects (quality/yield).
card542,User's core duty when relying on engineering / geoscience software,"Use it only within its validated parameters and understand its assumptions, limits & reliability."
card543,Developer vs. user responsibilities for professional software,"Developer → create, document & maintain; User → ensure correct application and disclose methods/limits to stakeholders."
card544,Supporting calculations from commercial software,Engineer must supply all input and output data in a readable form (may charge prep time) even if the program itself is proprietary.
card545,"After spotting a workplace hazard, what are your two legal/ethical duties?",(1) Communicate the risk to those affected; (2) eliminate the hazard or reduce it to an acceptable level. 
card546,What type of insurance protects professionals from being sued for mistakes or negligence in their work?,"Errors and Omissions (E&O) Liability Insurance.

E&O Insurance protects professionals (like engineers, architects, or consultants) when a client sues them for a mistake they made or something important they forgot in their work. It covers legal costs, settlements, or damage payouts. This insurance is important even if the mistake wasn’t on purpose — just a professional error or oversight.

3) Example

Let’s say an engineer designs a building, but forgets to include a drainage system. After construction, flooding causes damage, and the client sues the engineer. Even though it wasn’t done on purpose, it was a mistake. E&O insurance helps cover the legal fees and cost of damages. Without it, the engineer would have to pay everything out-of-pocket."
card547,Rule for applying a professional seal,Only on final documents containing technical information that others will rely on - never on preliminary drafts.
card548,"What are ""as-built"" drawings in an engineering project, and who typically prepares and seals them?","""As-built"" drawings are mark-ups, typically by someone other than the design engineer (e.g., contractor), showing actual on-site conditions after construction. They are generally not sealed by a P.Eng./P.Geo., as they reflect field changes rather than design intent.

Example: A contractor updates piping drawings to show rerouted pipes due to on-site obstacles, but the P.Eng. does not seal them. (Syllabus topic I.3, Ethics 5th ed. p.51 or 6th ed. p.48)"
card549,"If an engineer omits their professional seal from a document, does it eliminate their legal liability?","No. Liability (legal responsibility) arises from the engineer's involvement in the work, not from whether the seal was applied."
card550,Charging a fee for applying a seal,"No. Sealing is part of normal professional duty; fees may be charged only for review work, not for the stamp itself."
card551,Creating a valid digital seal,Apply through your licensing association; a scanned image of your rubber stamp is not an electronic seal.
card552,Giving credit on multi-firm projects,"Always acknowledge every individual / firm that contributed, even rivals or those with small shares of the work (NPPE III.3)."
card553,First response to non-dangerous ethical lapse,"Discuss the issue directly with the colleague; escalate to the boss only if unresolved (Whistle-blowing ethics, NPPE III.9)."
card554,Best present-day answer to waste-disposal issues,Efficient resource use & reduce-reuse-recycle — prevent the waste before having to treat it (NPPE III.6).
card555,"Main illicit use of CFC ""freons"" today",Servicing out-of-date refrigeration / cooling systems; professionals must avoid venting CFCs (NPPE III.6).
card556,Job offer that relies on prior employer's trade secrets,Decline (or disclose) - accepting is a conflict of interest and breach of loyalty/confidentiality (NPPE III.2).
card557,"Same-surname hire with no relation

What should you do if you hire someone who shares your last name but isn't related?

(Conflict of interest - a situation where personal connections could unfairly influence decisions)","Publicly disclose and explain there's no family tie to dispel any perception of favoritism.

Example: ""Though we share the surname Smith, Jane Smith is not my relative—this hire was made solely on merit."""
card558,Who decides if you're competent for a new specialty?,"You do - professionals self-assess competence, but face discipline if they misjudge (Acts §competence)."
card559,"What is meant by ""authenticating"" a technical document?",Apply professional seal + signature + date to every key final document/drawing.
card560,Core role of an engineering technician on a team,"Works under engineer supervision on practical tests, equipment set-up & maintenance."
card561,Whistle-blowing & job security,Justified reporting of unsafe/illegal practice is not grounds for dismissal; wrongful dismissal can be sued for lost wages.
card562,Hartford Coliseum (1978) lesson,"Negligence: engineers relied only on computer analysis; should have cross-checked with hand methods (e.g., Euler buckling).

In the 1978 Hartford Coliseum collapse, engineers relied only on computers and didn’t double-check their work using basic hand calculations like Euler buckling. This was considered negligence because a good engineer should always verify computer results manually to catch errors. The lesson here: technology helps, but it doesn’t replace engineering judgment.

Example:

An engineer uses software to check if a roof design is safe. The software says everything’s fine, but the engineer doesn’t do any simple hand checks. Later, the roof collapses under its own weight because the software missed a critical issue. If the engineer had done a basic Euler buckling calculation, the weakness would’ve been clear. This kind of oversight is what happened at the Hartford Coliseum — and it’s a classic case of why human checks matter."
card563,"Fast, low-cost first check of new software",Hand-calculate a representative case and compare with software output.
card564,Key features of a good Communications System Policy (CSP),"Written document that educates users, defines acceptable use & is prepared with legal advice (verbal-only policies are inadequate)."
card565,Charging for use of seal,"You may bill for review time, never for the act of sealing itself."
card566,"Who owns the official professional seal and what must members do with it when asked?
Ownership of physical or digital seals",The provincial/territorial association retains legal ownership of the seal—members are required to surrender their physical or digital seal back to the association on demand.
card567,Does forgetting to seal remove liability?,"No. Courts assign liability based on involvement, not on presence of a stamp."
card568,Faulty software causes structural failure—who's liable?,"The practitioner who relied on un-verified results, not the contractor or vendor."
card569,Complete authentication check-list when you seal a junior's report,1️⃣ Verify it's final 2️⃣ Review in depth 3️⃣ Stamp + Sign + Date. Omit any of these → not properly authenticated.
card570,Switching jobs to a direct competitor - new contract requirements,Any disclosure of the previous client's confidential affairs must NOT be demanded.
card571,"Designer's obligation when codes are missing, weak, or outdated",Exceed or deviate from the code using sound engineering principles to keep the public safe.
card572,Why is using pirated engineering software unethical?,It violates the Copyright Act; professionals must respect intellectual-property law.
card573,First step when handed unfamiliar commercial software for design work,Read the documentation/user manual to understand assumptions & limits before any calculations.
card574,Meaning of 'peak oil' and what follows for natural-gas demand,"The point where global oil production hits its maximum then declines; demand then shifts to gas, which will peak later."
card575,Trigger for re-validating engineering software (QA),"Every time the software is updated, patched, or re-configured."
card576,Coverage focus of a Commercial General Liability (CGL) policy,Third-party bodily injury and property damage (NOT design errors — that's E&O).
card577,Expected price trend when easy-access oil is exhausted (post-peak),Supply falls → oil prices likely rise sharply due to scarcity.
card578,Hand-stamp vs. digitally-applied seal,An electronic seal is considered equivalent to a hand stamp for authentication.
card579,Management style that assumes employees dislike work,Autocratic / Authoritarian (Theory X).
card580,Two baseline defences against hackers/spammers for engineering firms,Firewall + Antivirus software.
card581,"Clause that covers labour strikes, fires, pandemics",Force majeure.
card582,Phase-I investigation to check a property for contamination,Environmental Site Assessment (ESA).
card583,Missing detail in supervisory seal process,You must also sign and date beside the stamp for full authentication.
card584,Why is installing pirated engineering software unethical?,It violates the Copyright Act — a breach of law and professional ethics.
card585,Core duty of an expert witness in court,"Remain neutral and assist the court, not either party."
card586,Copyright protection in Canada begins when?,Automatically at the moment the work is created; registration is optional extra protection.
card587,Key feature distinguishing arbitration from court litigation,Parties choose the arbitrator and set their own procedural rules.
card588,Which item is not covered by Employment Standards Acts?,"Volunteering (hours, minimum wage, termination notice are)."
card589,Canada's two legal systems,Québec follows French civil law; all other provinces follow British common law.
card590,What are the three primary intentional torts relevant to professional engineering and geoscience practice in Canada?,"The three primary intentional torts are Fraud, Trespass, and Defamation. These involve deliberate actions, unlike negligence, which is unintentional.

Example: A P.Eng. knowingly misrepresents project risks (fraud), enters private land without permission (trespass), or falsely claims a colleague's incompetence (defamation). (Syllabus topic I.3, Law text p.12 or p.18)"
card591,Relationship between statutes and the Constitution,"Statutes must be compatible with the Constitution or they're invalid.

All laws (statutes) must follow the Constitution, which is the top law of the country. If a law goes against the Constitution, it is not valid. Courts can strike down or cancel such laws. This ensures all laws respect basic rights and rules set by the Constitution. No law can be higher than it.

Example:

Suppose a province makes a law that limits free speech. If that law goes against the freedom of expression guaranteed by the Constitution, a court can say the law is invalid. Even though it was passed properly, it doesn’t count because it violates the Constitution.

Additional note:
The Supreme Court of Canada is the main interpreter of the Constitution. When there’s a dispute about what the Constitution means or if a law breaks it, the Supreme Court makes the final decision. The court’s rulings help shape and apply the Constitution in real life. Its decisions are binding—everyone must follow them. So, the Constitution gives the rules, and the Supreme Court explains how to use them.

Example:

If a law is passed that limits freedom of religion, people might argue it violates the Constitution. The case could go to the Supreme Court. The judges would study the Constitution, especially the Charter of Rights, and decide if the law is allowed. Their ruling becomes the official interpretation of that part of the Constitution."
card592,Employer sees escalating harassment. What is the legal duty?,Act immediately to stop it - failure can make the employer vicariously liable.
card593,"Meaning of ""primacy legislation"" (Charter & human-rights codes)",They can override any conflicting law within their jurisdiction.
card594,"After Canada signs an international trade treaty, who must comply?","All levels - federal, provincial/territorial, and municipal governments."
card595,Association discipline process - at which phases can an expert witness be hired?,"Stage 1 (evidence-gathering) to help prepare a technical complaint, and Stage 3 (discipline hearing) to give sworn technical testimony."
card596,Emailing a forged discipline decision that harms a professional's reputation constitutes the tort of ___,Defamation (libel).
card597,Hazard can't be eliminated - two precautions a professional must take,Install physical guards and post prominent warning signs to protect workers & public.
card598,Canadian court level that most often decides Charter of Rights & Freedoms cases,"Supreme Court of Canada.

The Supreme Court of Canada is the court that most often makes final decisions about cases involving the Charter of Rights & Freedoms. It looks at whether laws or actions by the government violate Canadians’ rights. Once the Supreme Court decides, its ruling is final and must be followed across Canada. It acts like the top referee in legal disputes about rights.

Example:

A law in a province limits public protests. Someone challenges it, saying it violates the freedom of expression in the Charter. The case goes through lower courts and finally reaches the Supreme Court of Canada. The Supreme Court decides the law is unconstitutional. That ruling applies nationwide and can’t be appealed further."
card599,Liability of partners in a general partnership when one partner commits fraud,"All partners are jointly and severally liable for the firm's debts and wrongful acts, even if uninvolved."
card600,Right that lets a landowner cross neighbouring property for access,Easement (runs with the land).
card601,"Even if a case's facts match an older precedent, why might a court still refuse to follow that precedent?","Because subsequent judicial decisions, legislative changes, or material factual differences can override or distinguish the old rule—courts aren't bound when the law or key facts have evolved.

Example: A 1980 ruling on pesticide liability may be set aside today if newer statutes change industry standards or scientific evidence shows different health risks."
card602,Is unequal pay for the same job always illegal discrimination?,"No. Employers may pay differently for legitimate job-related factors like greater experience or seniority; human-rights codes prohibit discrimination only on protected grounds (e.g., sex, race, age). An employer can differentiate based on experience, and “protected grounds” are what human-rights statutes bar."
card603,Cutting an employee's salary 20% without consent,Treated as constructive dismissal - employee may treat contract as terminated and sue for severance/notice.
card604,Easement,"A legal right allowing someone to use another person's land for a specific purpose.
An easement is like a permission slip that lets one person use part of another person's property without owning it. It gives a specific right—for example, to walk, drive, or run a utility line—over land they don't own. Easements stay with the land, so if the property is sold, the new owner still has that right. They help neighbors avoid conflicts by clearly laying out who can do what on which parts of the land.

Jane owns a house behind Tom's house and needs to walk across Tom's yard to reach the public sidewalk. Tom grants Jane an easement allowing her to use that path anytime. Jane doesn't own Tom's yard—she only has the right to walk along that path. If Jane sells her house, the new owner also keeps that walking right. Without the easement, Jane might have to build a costly private sidewalk or negotiate access each time."
card605,Role of an expert witness,"Give neutral, independent technical opinion - not act as advocate for either party."
card606,Trademark Registration-What's required to secure exclusive nationwide rights and enforce your trademark?,"To gain exclusive nationwide rights—and sue for infringement (unauthorized use) or passing-off (misrepresenting goods/services as yours)—you must either:

1. Register your trademark federally, or
2. Establish common-law trademark rights by long-standing, public use in a specific region.

Example: CoffeeCo™ registers ""FreshBrew"" across Canada. If another café starts selling coffee under ""FreshBrew,"" CoffeeCo™ can bring an infringement or passing-off lawsuit to stop them."
card607,What is an impact claim in construction contracts?,"A claim by the contractor detailing extra costs or time caused by the owner's delay, which preserves the contractor's right to recover those additional expenses."
card608,What is the purpose of an opening statement in mediation?,"It allows each side to outline its view of the dispute before joint discussion begins.

The purpose of an opening statement in mediation is to let each side outline its view of the dispute. It’s a short, uninterrupted chance to say what happened and what matters most. After both sides speak, they move into a joint discussion with the mediator to ask questions and explore solutions.

Example

Two coworkers are mediating a scheduling conflict. In her opening statement, Alex says she needs mornings for childcare and wants a fair rotation. Jordan’s opening statement explains he covers most early shifts and wants balance. Then they begin a joint discussion with the mediator. They clarify priorities and constraints. They consider a rotating schedule that splits mornings evenly."
card609,"Under a construction change order, what terms are used for price increases and for price decreases?","Price increases are called extras, and price decreases are called credits."
card610,Who normally pays an expert witness?,"The party that hired them. And,the payment must not depend on the outcome of the trial."
card611,Estoppel,A legal tool that stops a party from enforcing strict contract wording after giving a free waiver.
card612,Patentability test in Canada,Novelty + ingenuity + utility - the invention must work and be useful.
card613,What is a 10% bid bond?,"A 10% bid bond is a guarantee that the bidder will enter the contract if their bid is accepted.
If the bidder backs out, the surety pays the owner up to the bond amount (typically 10% of the bid).
This protects the owner from costs and delays caused by a no-show contractor.
It encourages serious, reliable bids.

Example

A contractor bids $500,000 on a project with a 10% bid bond.
They win, but refuse to sign the contract.
The surety must pay the owner up to $50,000 (10% of $500,000).
The owner uses this money to cover the extra cost of hiring the next bidder.
Because of the bond, the owner isn’t left completely exposed."
card614,Three pillars of Canada's Constitution,1 Division of powers • 2 Creation of the courts • 3 Charter of Rights & Freedoms (the Criminal Code is not one of them).
card615,Appointment of arbitrator,Either party can ask the court to appoint the arbitrator.
card616,Absolute right under OHS laws in Canada,You may refuse the work until the danger is investigated.
card617,Limited partnership,A partnership where a partner invests money but does not run the business and has limited liability.
card618,Force-majeure clause,A clause that protects you from schedule penalties when floods or other 'acts of God' strike.
card619,What is the contra proferentem rule in contract law?,"When a contract term is ambiguous, the court interprets it against the party who drafted (wrote) that term.

Example: A supplier's contract says ""delivery within 30 days"" without specifying start date. If disputed, the court will construe ""30 days"" in the way least favourable to the supplier (the drafter)."
card620,Possible consequences after a practice review finds unskilled practice,"Fines, permit/practice revoked or restricted, and the decision may be published."
card621,CPD requirements after absence,"Once you return to practice you must restart meeting the CPD requirements; missed years are not retro-billed.

After a break, when you return to practice, you start meeting CPD requirements again from that point forward.
You do not have to pay for or make up the missed years—they are not retro-billed.
So, focus on completing the current CPD, not the past.

Example

A lawyer takes two years off for parental leave.
When she returns in 2025, she must meet the 2025 CPD requirements.
She doesn’t have to complete 2023–2024 CPD or pay for it.
She just follows the current year’s CPD rules going forward."
card622,"Education Half-Life of a Degree-What does ""education half-life"" mean for professionals?","Over time, the relevance of what you learned in your degree decays (loses relevance) as technology and best practices evolve. The ""half-life"" is the period in which roughly half of your original knowledge becomes outdated, making ongoing learning essential to stay competent.

Example: If a computer science degree has an education half-life of 5 years, then about half of what you learned when you graduated will be obsolete after five years—so you need continual training to keep up.

Difficult word:Decay: to gradually lose strength or effectiveness."
card623,"Under provincial/territorial Occupational Health & Safety Acts, what action can a worker take when faced with a dangerous task?","Workers have the legal right to stop work and refuse tasks they reasonably believe are unsafe.Example: On a construction site, if a worker notices a scaffold platform missing planks, they can refuse to climb it and report the hazard to their supervisor without fear of reprisal."
card624,What five elements are required for a contract to be legally enforceable?(Enforceable = a court will uphold it),"1. Offer & Acceptance - One side proposes terms; the other agrees.
2. Mutual Intent - Both parties intend to be bound.
3. Consideration - Each gives something of value (money, service).
4. Capacity - Parties are competent (e.g., adults of sound mind).
5. Lawful Purpose - The contract's goal must be legal.

Example: You offer $200 for a friend to paint your room, they accept, both intend a binding deal, you'll pay $200 (consideration), you're both adults (capacity), and painting is legal (lawful purpose)."
card625,What is estoppel in contract law?,"When one party knowingly gives up (""waives"") a strict right under a contract and the other party relies on that waiver, a court will prevent the first party from later enforcing the original term.

Example:A landlord tells a tenant it's okay to pay rent up to three days late each month. The tenant relies on this and pays late for several months. The landlord cannot suddenly enforce the strict ""due on the first"" clause for those months—they're estopped (stopped) from doing so."
card626,"In a practice review, what's the main focus for an individual member vs. a firm?","Individual: Are they staying competent and honestly logging their CPD?

Firm: Is it following its PPMP (Professional Practice Management Plan)?

Example:
Individual: Jane logs 30 CPD hours and demonstrates up-to-date technical skills.
Firm: Acme Engineering follows its written QA procedures for every project."
card627,What's a common penalty the Discipline Committee can impose on a licensed member?,"Impose terms or conditions on their licence (e.g., practice under supervision, complete specified courses).Example: An engineer found guilty must work under a senior mentor for one year and finish a ethics refresher course."
card628,Main power of the association when the public complains,Can discipline its member (it can't award money to the complainant).
card629,What is Alternative Dispute Resolution (ADR)?,"Alternative Dispute Resolution (ADR) refers to methods of resolving disputes outside of traditional court litigation, often involving a neutral third party to facilitate a resolution. It offers a more flexible, and sometimes faster and less expensive, approach to conflict resolution compared to going to court."
card630,Professional misconduct,Unethical behaviour.
card631,Informal CPD example,Attending a conference workshop (informal = learning with no exam or credential).
card632,"In an individual practice review, which item is not examined?","The member's firm-level Professional Practice Management Plan (PPMP) is not reviewed.

A PPMP is the company's written policies, procedures, and quality controls.

Example: The PRB will check Maria's CPD record and technical competence, but it won't audit her employer's PPMP."
card633,Correct order of the formal discipline process,1️⃣ Gather evidence → 2️⃣ Investigative/Complaints Committee review → 3️⃣ Discipline hearing.
card634,Who can sign off a mining prospectus under NI 43-101?,An independent engineer or geoscientist with ≥ 5 years' experience relevant to the project.
card635,Sanction for serious OH&S offence,Imprisonment.
card636,"In Ontario, what safety body is required for an office of 15 employees?","If an Ontario office has 15 employees, they must have one Health & Safety Representative — someone who keeps an eye on safety concerns.
They don’t need a joint safety committee unless they have 20 or more workers.
So, for smaller workplaces like this, one trained person is enough."
card637,Common term for tangible personal property in law,"Chattels - movable items you can touch (e.g., tools, textbooks)."
card638,What are chattels?,"Tangible personal property—movable items you can touch (e.g., tools, textbooks).Tangible: able to be touched."
card639,What is the meaning of rescission?,"The legal undoing or cancellation of a contract, restoring the parties to their positions before the agreement.•

Example: A homeowner signs a renovation contract, then learns the contractor isn't licensed—she rescinds the contract and recovers her deposit.•

Persian (Farsi): فسخ قرارداد"
card640,Copyright,"The exclusive legal right to copy, distribute, and adapt a creative work.

Example: An author owns the copyright to her novel and can stop anyone from printing or selling copies without her permission."
card641,"Canadian Common-Law system.

(Canada uses a common law system, which means that judges' past decisions help shape the law. Courts follow what other courts have decided before — this is called using precedent.)","Law made by judges through precedents, evolving case-by-case on principles of fairness (""equity"")."
card642,Trust,"A legal duty to hold funds for someone else.
تعهد قانونی برای نگهداری وجوه متعلق به دیگران.
Example: A general contractor must keep owner's progress payments in a separate trust account and pay subcontractors before using the money for its own expenses."
card643,Section of the Charter that covers equal salary for equal work,"Section 15 - Equality rights (protects from discrimination incl. sex, race, etc.)."
card644,What are the three types of misrepresentation?,"Innocent, negligent, and fraudulent."
card645,"Which Intellectual Property (IP) right is infringed by copying a decorative pattern?
Infringe: نقض کردن","Industrial design - protects the visual features (shape, pattern, ornament) of a manufactured article.
Example: Reproducing the unique quilted pattern of a luxury handbag on your own product without permission infringes its industrial design right.Ornament: decoration"
card646,Word for tangible movable personal property,Chattels.
card647,How to become part of a national federation such as CFES,You cannot join the federation directly; join one of its member societies and you're automatically included.
card648,Local societies,"Tackle area-specific problems (e.g., Arctic construction issues) that broader groups may ignore."
card649,What is a seal?,"A seal is the official stamp your association gives you (it even has your name and licence number) that you press onto a document to say, ""I checked this and I take responsibility for it.

""Example: An engineer seals the final design drawings before sending them to the city's building department to confirm they've reviewed and approved every detail."
card650,Hiring non-licensed sound engineer,"Insist the title be changed (e.g., ""sound technician"") or don't hire; otherwise the firm aids illegal practice."
card651,EIT/MIT practice,"Practice engineering only under direct supervision of a licensed P.Eng.; cannot sign, seal, or call themselves P.Eng."
card652,Federation vs society,Society = individual subject-based group; federation = coalition of societies.
card653,Québec's Geologist Act (2001) was enacted in response to which major environmental disaster?,"- Enacted in response to the Walkerton drinking-water contamination of 2000 (contamination = pollution by harmful substances)
- Established mandatory licensing and oversight of geoscientists in Québec to protect public health
- Example: Now, only licensed geoscientists can certify groundwater safety before a town opens new wells."
card654,Association action for unauthorized title use,Enforcement (against non-members using protected title).
card655,Trademark protection duration,"10 years from registration, renewable every 10 years (post-2019 Trade-marks Act update)."
card656,Breach of contract,"A failure to perform the contractual obligations (""failure to complete the deal"")."
card657,What is the purpose of an RFQ?,"RFQ stands for Request for Qualification. It's when you send out a simple form to companies to check if they've got the right skills, staff, and equipment before you even talk price.

Example: The province needs a new water treatment plant, so they issue an RFQ asking firms to prove they've done similar projects and have the necessary team—only those that qualify move on to bid."
card658,Quality-Based Selection (QBS),"Consultant selection method focusing on quality; ranks by qualifications first, then negotiates fee."
card659,Practice of engineering,"Any act of planning, designing, evaluating, advising, reporting, directing or supervising that uses engineering principles."
card660,Canadian Engineering Accreditation Board (CEAB),"CEAB sets criteria, evaluates programmes, and recommends accreditation, but does not write programme syllabi or exams."
card661,Canadian-equivalent experience abroad,"Experience outside Canada is acceptable if Canadian laws, standards, codes, and climate are applied under a Canadian professional."
card662,"When does copyright protection start, and what is registration for?","Protection starts once the work is fixed (i.e., put into a tangible form). Registration is optional and mainly helps as evidence/proof of ownership and date."
card663,Second-most criterion in work-experience assessment,Practical (hands-on) experience is next.
card664,"Which step in the Carbon Capture and Sequestration (CCS) process raises the greatest environmental concern and requires more research due to potential long-term leakage risks?
A) Storage of CO2
B) Separating the CO2
C) Installing the CCS equipment
D) Delivering it deep underground",A) Storage of CO2
card665,"Which of the following is most true about architects working on engineering and geoscience projects?
A) They design buildings
B) They need a licence in order to practice
C) They have excellent seismic knowledge
D) They work under engineers",B) They need a licence in order to practice
card666,"Under National Instrument 43-101, only a _____________ may publicly report ore discoveries.
a) mining company executive
b) financial analyst
c) Qualified Person (QP)
d) stock market regulator",c) Qualified Person (QP)
card667,"A Letter of Assurance is typically submitted at the _______ of a project and certifies that __________.
a) start / the project will be completed on time
b) end / the building was constructed according to the approved plans and specifications
c) start / all professionals are licensed
d) end / the building will never fail or cause harm",b) end / the building was constructed according to the approved plans and specifications
card668,"According to most Occupational Health and Safety Acts, it is the ______'s responsibility to wear personal protective equipment, and the ______'s responsibility to supply it.
a) supervisor / employer
b) worker / employer
c) employer / government
d) employee / provincial association",b) worker / employer
card669,Which regulatory function involves investigating licensed members for unethical or incompetent conduct and can result in penalties like suspension or license revocation?,Discipline
card670,"The Iron Ring ceremony in Canada is ________ and symbolizes an engineer's commitment to ethics and public duty, but it is not a legal requirement for licensure.",voluntary
card671,"Which of the following is NOT a legal requirement to become a licensed Professional Engineer (P.Eng.) in Canada?
A) Accredited engineering degree
B) Work experience
C) Passing the NPPE
D) Participation in the Iron Ring ceremony",D) Participation in the Iron Ring ceremony
card672,The Iron Ring ceremony in Canada is _______ (mandatory / voluntary) and has _______ (legal / symbolic) significance.,voluntary; symbolic
card673,"""Soft skills"" refer to interpersonal abilities like communication and teamwork, whereas ""hard skills"" refer to _______.","technical or job-specific abilities (e.g., using equipment, collecting samples)"
card674,"_________ are interpersonal and communication abilities that help individuals interact effectively, work in teams, and adapt in the workplace.",Soft skills
card675,"Mill's Utilitarianism, Kant's Formalism, Locke's Rights Ethics, and Aristotle's Virtue Ethics are all examples of:
A) Epistemology
B) Ethical theories
C) Logic
D) Metaphysics",B) Ethical theories
card676,"Which ethical theory focuses on achieving the greatest good for the greatest number?
A) Formalism
B) Virtue Ethics
C) Rights Ethics
D) Utilitarianism",D) Utilitarianism (Mill)
card677,"True or False: In Canada, duplicating a creator's work shortly after their death is allowed, as long as it's not for profit.","False — Copyright protection lasts for life plus 70 years, regardless of purpose."
card678,"What is physical property?
A) A design or idea protected by law
B) A physical item owned by an individual or group
C) An intangible asset that can't be transferred
D) A license issued by a regulatory body",B) A physical item owned by an individual or group
card679,"What is the main difference between physical and intellectual property?
A) You can license intellectual property but not physical property
B) You can own physical property indefinitely, but intellectual property has a limited ownership period
C) You can't buy intellectual property
D) Physical property can't be sold","B) You can own physical property indefinitely, but intellectual property has a limited ownership period"
card680,What happens to intellectual property once its ownership period ends (unless renewed or extended)?,It enters the public domain and becomes public property
card681,"What are the two main types of property professionals must understand?
A) Legal and illegal property
B) Tangible and intangible rights
C) Physical and intellectual property
D) Private and public property",C) Physical and intellectual property
card682,List the three types of consequences a professional might face after committing embezzlement.,"1. Criminal
2. Civil
3. Professional/disciplinary"
card683,"Jane's decision to release a cost-saving technology that benefits the greatest number of people reflects which ethical theory?
A) Locke's Rights-Based Ethics
B) Kant's Duty-Based Ethics
C) Mill's Utilitarianism
D) Aristotle's Virtue-Based Ethics",C) Mill's Utilitarianism
card684,"If an employee develops a technology during company time and using company resources, who owns the intellectual property?",The employer (the firm)
card685,"What is the Persian (Farsi) translation of the word ""miscarriage""?",سقط جنین
card686,"Fill in the blank:
The general duration of copyright in Canada equals the creator's lifetime plus ______ years.",70
card687,"Under Canadian engineering & geoscience self-regulation, __________ is the process of charging a licensed member for incompetence or unethical behaviour, whereas __________ is the process of charging a non-member for offences such as unauthorized use of ""P.Eng."" or ""P.Geo.""",Discipline ; Enforcement
card688,"According to most provincial/territorial Acts, under what conditions can a firm use the title ""Engineers and Architects"" in its name?",Only if both licensed professional engineers and registered architects are partners or shareholders in the firm.
card689,"Wearing an iron ring (engineers) or earth science ring (geoscientists) symbolizes that the wearer has __________.
A) received an accredited engineering/geoscience degree
B) taken an oath to maintain high standards in their profession
C) obtained professional licensure from their association
D) been hired by a professional firm",B) taken an oath to maintain high standards in their profession
card690,"Q: What agreement ensures that licensed engineers and geoscientists in Canada can relocate and practice in any other province or territory with minimal additional requirements?
A) Canada Free Trade Agreement (CFTA)
B) National Mobility Agreement
C) Agreement on Internal Trade (AIT)
D) All of the above",A: D) All of the above
card691,"Q: For some engineering associations, what is a requirement for a Master's program to be eligible for experience credit?
A) The program must be online
B) The program must be thesis-based
C) The program must be completed in under 6 months
D) The program must focus on general engineering knowledge",A: B) The program must be thesis-based
card692,"Q: The Luna 3 probe, which photographed the moon, was a major achievement of which country?
A) Canada
B) United States
C) Soviet Union
D) United Kingdom",A: C) Soviet Union
card693,"Q: Which of the following is NOT an example of a Canadian engineering or geoscience achievement?
A) Alouette-I Orbiting Research Satellite
B) CANDU nuclear power system
C) Transcontinental railway network
D) Luna 3 probe photographs the moon",A: D) Luna 3 probe photographs the moon
card694,"Q: According to the code of ethics, how should the professional member view their duty to the public?
A) As important as the duty to the employer
B) Less important than the duty to oneself
C) Less important than the duty to the profession
D) As the most important duty",A: D) As the most important duty
card695,"In an employer-employee contract for creating intellectual property, the ______ is named as the creator and the ______ is named as the owner upon registration.","Creator: employee
Owner: employer"
card696,An exception to confidentiality allows disclosure when the professional believes withholding the information would be contrary to the ________ of the public.,safety
card697,"An exception to confidentiality allows disclosure when required by ________, and only to the extent required.",law
card698,"Calculus and statistics as formal disciplines originated in which century?
A. 3rd century BCE
B. 12th century CE
C. 17th century CE
D. 19th century CE",C. 17th century CE
card699,Must the reviewer always redo all calculations or drawings from scratch to seal them?,No—only if that level of checking is needed for the reviewer to gain confidence in the work.
card700,Who holds ethical and legal responsibility once the work is sealed?,The engineer who reviewed and sealed it.
card701,What events led to the first engineering licensing laws in Canada?,Two major bridge collapses in 1907 and 1916 that killed over 85 workers.
card702,What does the designation P.Eng. stand for?,Professional Engineer.
card703,Why was the P.Eng. title created?,To ensure only qualified engineers could legally practice and seal technical documents.
card704,What is the main goal of requiring engineers to be licensed?,"To protect public safety by ensuring only competent, accountable engineers practice."
card705,The Iron Ring ceremony began in ______ to remind engineers of their ethical duties.,1922
card706,The main goal of licensing engineers is to protect public ______ by ensuring competence and accountability.,safety
